ubicacion,ruta,carpeta,tipo,extension,tamano_mb,modificado,sha256,en_git,inventariado_por,alertas
repositorio,.gitignore,(raiz),otro,,0.0,2026-09-17 00:18,bcd60c26d1e8f17ec1b0ca61c0c17fc747c018f2b5f7004c3c06de1fff1ed403,si,Anderson,
repositorio,Códigos/Exploración.ipynb,Códigos,codigo,.ipynb,7.546,2026-09-17 00:18,bdeb41dfe27baa276a505959e3d9e9b5f74257bc1a11be58840477c3dc604a1f,si,Anderson,
repositorio,Códigos/Exploración.py,Códigos,codigo,.py,0.003,2026-09-17 00:18,5472fe8c58b0b07ea59b50a0c3772195d65837149b9901147dfd75736a00bd68,si,Anderson,
repositorio,Códigos/extrae_pte_educacion_full.py,Códigos,codigo,.py,0.006,2026-09-17 00:18,1efaf54a41265ffca95697a2d3c6b4ad4629b01cccf94db27827f0a92c7ab4d5,si,Anderson,
repositorio,Códigos/Saber Pro 2021-2024/Database.py,Códigos,codigo,.py,0.002,2026-09-17 00:18,0dedb1824829f8a493b69071e4b4b6fc22b2b1bb12f3fe439e40d4828d4ddda0,si,Anderson,
repositorio,Códigos/Saber Pro 2021-2024/modelo_estrella.png,Códigos,imagen,.png,0.076,2026-09-17 00:18,837682185bb890ab9990f7221bfe05c0b9edcd5a012c8244ce070a50b0bd11f0,si,Anderson,
repositorio,Códigos/Saber Pro 2021-2024/modelo_estrella.py,Códigos,codigo,.py,0.011,2026-09-17 00:18,3cf08bf177688d2a92f5f4b610e7015e4783fa6b187f7258f7967df3ae88a238,si,Anderson,
repositorio,Códigos/scraper_snies.py,Códigos,codigo,.py,0.016,2026-09-17 00:18,fd0e2506a3de6326f7fa9dc290af43de1579b65c6e619b3c3d8f20c6c5195e5c,si,Anderson,
repositorio,Códigos/snies_renamed_registros.py,Códigos,codigo,.py,0.005,2026-09-17 00:18,b5e9b61ec318a4c41933da783d2597fd4ead087174092c0343dc96cb808b6344,si,Anderson,
repositorio,data/processed/SaberPro2021_2024_heredado.db,data,dato,.db,764.25,2026-09-17 01:00,14cded96c913a623968d5edb2b29110fbc8a31b9cfd908931057683347408baf,no,Anderson,
repositorio,data/raw/saber_pro/Examen_Saber_Pro_Genericas_2021.txt,data,dato,.txt,181.979,2026-09-15 00:29,ff361263788a8bfceb96354138c455bef3d01b39eade37b20a35237a385b6fe1,no,Anderson,
repositorio,data/raw/saber_pro/Examen_Saber_Pro_Genericas_2022.txt,data,dato,.txt,178.833,2026-09-15 00:29,6b9c264df035ac17cfbed1d17b4ab2c8ca82cfde5c60c29b16e9cc71ed8bbc12,no,Anderson,
repositorio,data/raw/saber_pro/Examen_Saber_Pro_Genericas_2023.txt,data,dato,.txt,182.021,2026-09-15 00:30,6911ec5f479f1ebc472123a1d7b0ff44ff91558bf9dc7e139ed16d18c74b4d59,no,Anderson,
repositorio,data/raw/saber_pro/Examen_Saber_Pro_Genericas_2024.txt,data,dato,.txt,182.738,2026-09-15 00:30,86bfe7f6766dd496594dfb43d44a20cb7349065098c5fd8602d3497502f24d9b,no,Anderson,
repositorio,docs/.gitkeep,docs,otro,,0.0,2026-09-17 00:18,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,si,Anderson,
